x, y, du, u,e_to_next_x, e_to_next_y, to_next_theta,tx, ty, t_theta,nx, ny, n_theta,kappa
52,-0.648748,0.1,52.0856,0.999996,-0.00276608,-0.00276608,0,0,0,0,0,0,0.00717589
52.1,-0.649024,0.1,52.1856,0.999998,-0.00215586,-0.00215586,0,0,0,0,0,0,0.0055982
52.2,-0.64924,0.1,52.2856,0.999999,-0.00167998,-0.00167998,0,0,0,0,0,0,0.00436571
52.3,-0.649408,0.1,52.3856,0.999999,-0.00130897,-0.00130897,0,0,0,0,0,0,0.00340356
52.4,-0.649539,0.1,52.4856,0.999999,-0.0010198,-0.0010198,0,0,0,0,0,0,0.00265284
52.5,-0.649641,0.1,52.5856,1,-0.00079444,-0.00079444,0,0,0,0,0,0,0.00206734
52.6,-0.64972,0.1,52.6856,1,-0.000618845,-0.000618845,0,0,0,0,0,0,0.00161084
52.7,-0.649782,0.1,52.7856,1,-0.000482039,-0.000482039,0,0,0,0,0,0,0.001255
52.8,-0.64983,0.1,52.8856,1,-0.000375462,-0.000375462,0,0,0,0,0,0,0.00227821
52.9,-0.649868,0.1,52.9856,1,-0.00029244,-0.00029244,0,0,0,0,0,0,0.00214375
53,-0.649897,0.1,53.0856,1,0.00029244,0.00029244,0,0,0,0,0,0,0.00214375
53.1,-0.649868,0.1,53.1856,1,0.000375462,0.000375462,0,0,0,0,0,0,0.00227821
53.2,-0.64983,0.1,53.2856,1,0.000482039,0.000482039,0,0,0,0,0,0,0.001255
53.3,-0.649782,0.1,53.3856,1,0.000618845,0.000618845,0,0,0,0,0,0,0.00161084
53.4,-0.64972,0.1,53.4856,1,0.00079444,0.00079444,0,0,0,0,0,0,0.00206734
53.5,-0.649641,0.1,53.5856,0.999999,0.0010198,0.0010198,0,0,0,0,0,0,0.00265284
53.6,-0.649539,0.1,53.6856,0.999999,0.00130897,0.00130897,0,0,0,0,0,0,0.00340356
53.7,-0.649408,0.1,53.7856,0.999999,0.00167998,0.00167998,0,0,0,0,0,0,0.00436571
53.8,-0.64924,0.1,53.8856,0.999998,0.00215586,0.00215586,0,0,0,0,0,0,0.0055982
53.9,-0.649024,0.1,53.9856,0.999996,0.00276608,0.00276608,0,0,0,0,0,0,0.00717591
54,-0.648748,0.100001,54.0856,0.999994,0.00354825,0.00354826,0,0,0,0,0,0,0.00919376
54.1,-0.648393,0.100001,54.1856,0.99999,0.00455034,0.00455036,0,0,0,0,0,0,0.0117716
54.2,-0.647938,0.100002,54.2856,0.999983,0.00583336,0.00583339,0,0,0,0,0,0,0.0150602
54.3,-0.647354,0.100003,54.3856,0.999972,0.00747471,0.00747478,0,0,0,0,0,0,0.0192474
54.4,-0.646607,0.100005,54.4856,0.999954,0.00957228,0.00957242,0,0,0,0,0,0,0.024566
54.5,-0.64565,0.100008,54.5856,0.999925,0.0122492,0.0122495,0,0,0,0,0,0,0.0313004
54.6,-0.644425,0.100012,54.6856,0.999877,0.0156596,0.0156602,0,0,0,0,0,0,0.0397927
54.7,-0.642858,0.10002,54.7856,0.9998,0.0199945,0.0199958,0,0,0,0,0,0,0.050445
54.8,-0.640859,0.100032,54.8857,0.999675,0.0254885,0.0254913,0,0,0,0,0,0,0.0637142
54.9,-0.638309,0.100053,54.9857,0.999474,0.0324255,0.0324312,0,0,0,0,0,0,0.0800931
55,-0.635065,0.100085,55.0857,0.999153,0.0411417,0.0411533,0,0,0,0,0,0,0.100069
55.1,-0.630947,0.100136,55.1858,0.998646,0.0520247,0.0520482,0,0,0,0,0,0,0.124046
55.2,-0.625738,0.100215,55.286,0.997852,0.0655024,0.0655494,0,0,0,0,0,0,0.152217
55.3,-0.619173,0.100338,55.3862,0.996631,0.0820178,0.08211,0,0,0,0,0,0,0.184375
55.4,-0.610944,0.100524,55.4865,0.994786,0.10198,0.102158,0,0,0,0,0,0,0.219653
55.5,-0.600692,0.100799,55.587,0.99207,0.125689,0.126022,0,0,0,0,0,0,0.256236
55.6,-0.588023,0.101195,55.6878,0.988193,0.153217,0.153823,0,0,0,0,0,0,0.291122
55.7,-0.572518,0.101742,55.789,0.982874,0.184277,0.185336,0,0,0,0,0,0,0.32008
55.8,-0.553769,0.102466,55.8908,0.975931,0.218081,0.219847,0,0,0,0,0,0,0.337976
55.9,-0.531423,0.10337,55.9932,0.967401,0.253251,0.256039,0,0,0,0,0,0,0.339583
56,-0.505245,0.104419,56.0966,0.957676,0.287847,0.291978,0,0,0,0,0,0,0.320758
56.1,-0.475188,0.105533,56.201,0.947573,0.31954,0.325244,0,0,0,0,0,0,0.279617
56.2,-0.441466,0.10658,56.3066,0.938266,0.345916,0.353215,0,0,0,0,0,0,0.217247
56.3,-0.404599,0.107403,56.4131,0.931074,0.364831,0.373451,0,0,0,0,0,0,0.137661
56.4,-0.365415,0.107858,56.5205,0.927145,0.374703,0.384076,0,0,0,0,0,0,0.0470935
56.5,-0.325,0.107858,56.6284,0.927145,0.374703,0.384076,0,0,0,0,0,0,-0.0470035
56.6,-0.284585,0.107403,56.7363,0.931074,0.364831,0.373451,0,0,0,0,0,0,-0.136916
56.7,-0.245401,0.10658,56.8437,0.938266,0.345916,0.353215,0,0,0,0,0,0,-0.215499
56.8,-0.208534,0.105533,56.9502,0.947573,0.31954,0.325244,0,0,0,0,0,0,-0.276957
56.9,-0.174812,0.104419,57.0558,0.957676,0.287847,0.291978,0,0,0,0,0,0,-0.317616
57,-0.144755,0.10337,57.1602,0.967401,0.253251,0.256039,0,0,0,0,0,0,-0.336488
57.1,-0.118577,0.102466,57.2636,0.975931,0.218081,0.219847,0,0,0,0,0,0,-0.335331
57.2,-0.0962307,0.101742,57.366,0.982874,0.184277,0.185336,0,0,0,0,0,0,-0.318067
57.3,-0.0774819,0.101195,57.4678,0.988193,0.153217,0.153823,0,0,0,0,0,0,-0.28973
57.4,-0.0619772,0.100799,57.569,0.99207,0.125689,0.126022,0,0,0,0,0,0,-0.255345
57.5,-0.0493078,0.100524,57.6698,0.994786,0.10198,0.102158,0,0,0,0,0,0,-0.219119
57.6,-0.0390563,0.100338,57.7703,0.996631,0.0820178,0.08211,0,0,0,0,0,0,-0.184071
57.7,-0.0308268,0.100215,57.8706,0.997852,0.0655024,0.0655494,0,0,0,0,0,0,-0.152051
57.8,-0.0242625,0.100136,57.9708,0.998646,0.0520247,0.0520482,0,0,0,0,0,0,-0.123957
57.9,-0.0190529,0.100085,58.071,0.999153,0.0411417,0.0411533,0,0,0,0,0,0,-0.100023
58,-0.0149353,0.100053,58.1711,0.999474,0.0324255,0.0324312,0,0,0,0,0,0,-0.0800699
58.1,-0.011691,0.100032,58.2711,0.999675,0.0254885,0.0254913,0,0,0,0,0,0,-0.0637027
58.2,-0.00914136,0.10002,58.3711,0.9998,0.0199945,0.0199958,0,0,0,0,0,0,-0.0504393
58.3,-0.00714151,0.100012,58.4712,0.999877,0.0156596,0.0156602,0,0,0,0,0,0,-0.0397899
58.4,-0.00557537,0.100008,58.5712,0.999925,0.0122492,0.0122495,0,0,0,0,0,0,-0.031299
58.5,-0.00435035,0.100005,58.6712,0.999954,0.00957228,0.00957242,0,0,0,0,0,0,-0.0245653
58.6,-0.00339308,0.100003,58.7712,0.999972,0.00747471,0.00747478,0,0,0,0,0,0,-0.0192471
58.7,-0.00264559,0.100002,58.8712,0.999983,0.00583336,0.00583339,0,0,0,0,0,0,-0.01506
58.8,-0.00206224,0.100001,58.9712,0.99999,0.00455034,0.00455036,0,0,0,0,0,0,-0.0117716
58.9,-0.00160721,0.100001,59.0712,0.999994,0.00354825,0.00354826,0,0,0,0,0,0,-0.00919373
59,-0.00125238,0.1,59.1712,0.999996,0.00276608,0.00276608,0,0,0,0,0,0,-0.00717589
59.1,-0.000975768,0.1,59.2712,0.999998,0.00215586,0.00215586,0,0,0,0,0,0,-0.0055982
59.2,-0.000760182,0.1,59.3712,0.999999,0.00167998,0.00167998,0,0,0,0,0,0,-0.00436571
59.3,-0.000592183,0.1,59.4712,0.999999,0.00130897,0.00130897,0,0,0,0,0,0,-0.00340356
59.4,-0.000461286,0.1,59.5712,0.999999,0.0010198,0.0010198,0,0,0,0,0,0,-0.00265284
59.5,-0.000359306,0.1,59.6712,1,0.00079444,0.00079444,0,0,0,0,0,0,-0.00206734
59.6,-0.000279862,0.1,59.7712,1,0.000618845,0.000618845,0,0,0,0,0,0,-0.00161084
59.7,-0.000217978,0.1,59.8712,1,0.000482039,0.000482039,0,0,0,0,0,0,-0.001255
59.8,-0.000169774,0.1,59.9712,1,0.000375462,0.000375462,0,0,0,0,0,0,-0.00141838
59.9,-0.000132228,0.1,60.0712,1,0.00029244,0.00029244,0,0,0,0,0,0,-0.000207744
